idna_subject,checker_type,destination,source,tested_at,session_id
plus,AVAILABILITY,origin.list,origin.list,2022-05-06 05:30:57.596813,1530ed8949f5b547b3d915e8
"||gerwen.info^$popup,domain=ganool.is|ganool.ph",AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:21.850391,1530ed8949f5b547b3d915e8
"@@||bloggerku.com/safelink/2.0/script.js?$script,domain=animanganews.com|maulandaru.com|njiir.com|razorlink.us|teknorizen.blogspot.com",AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:29.499351,1530ed8949f5b547b3d915e8
layarlebarxxi.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:33.467585,1530ed8949f5b547b3d915e8
woof.tube,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:33.635965,1530ed8949f5b547b3d915e8
aplikasipc.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:33.935393,1530ed8949f5b547b3d915e8
giladrakor.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:34.411049,1530ed8949f5b547b3d915e8
wowkeren.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:34.561216,1530ed8949f5b547b3d915e8
oomph.co.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:34.709204,1530ed8949f5b547b3d915e8
indogamers.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:36.226811,1530ed8949f5b547b3d915e8
totolink.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:37.391691,1530ed8949f5b547b3d915e8
utusan.com.my,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:37.471691,1530ed8949f5b547b3d915e8
lihat.co.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:37.775837,1530ed8949f5b547b3d915e8
motorplus-online.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:38.051821,1530ed8949f5b547b3d915e8
chip.co.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:38.696357,1530ed8949f5b547b3d915e8
mangacanblog.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:39.106829,1530ed8949f5b547b3d915e8
dapurpacu.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:39.289556,1530ed8949f5b547b3d915e8
139.99.33.192,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:39.686765,1530ed8949f5b547b3d915e8
detik.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:40.648802,1530ed8949f5b547b3d915e8
unixmen.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:40.800735,1530ed8949f5b547b3d915e8
tribunnews.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:41.531759,1530ed8949f5b547b3d915e8
zonabola.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:41.844743,1530ed8949f5b547b3d915e8
qqcinema21.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:42.253271,1530ed8949f5b547b3d915e8
kontan.co.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:42.769139,1530ed8949f5b547b3d915e8
filmbagus88.net,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:44.323793,1530ed8949f5b547b3d915e8
tempointeraktif.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:45.581669,1530ed8949f5b547b3d915e8
duniaku.net,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:45.651202,1530ed8949f5b547b3d915e8
indotelko.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:46.422713,1530ed8949f5b547b3d915e8
bioskop78.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:48.677526,1530ed8949f5b547b3d915e8
hdtvku.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:48.800983,1530ed8949f5b547b3d915e8
kertashitam.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:50.489272,1530ed8949f5b547b3d915e8
log.viva.co.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:31:51.322335,1530ed8949f5b547b3d915e8
pikiran-rakyat.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:00.210589,1530ed8949f5b547b3d915e8
indostreamings.xyz,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:00.750020,1530ed8949f5b547b3d915e8
kompas.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:01.751950,1530ed8949f5b547b3d915e8
stocksetup.kontan.co.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:03.877441,1530ed8949f5b547b3d915e8
ggwp.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:05.982313,1530ed8949f5b547b3d915e8
makassar.tribunnews.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:07.718262,1530ed8949f5b547b3d915e8
blog.tribunjualbeli.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:09.136260,1530ed8949f5b547b3d915e8
90animax.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:10.271497,1530ed8949f5b547b3d915e8
negumo.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:11.549748,1530ed8949f5b547b3d915e8
downloadfilmbaru.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:11.920541,1530ed8949f5b547b3d915e8
indoxx1.club,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:11.954065,1530ed8949f5b547b3d915e8
nf21.club,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:12.180187,1530ed8949f5b547b3d915e8
nontonserial.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:13.043406,1530ed8949f5b547b3d915e8
indoxxi.pictures,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:13.176938,1530ed8949f5b547b3d915e8
indoxx1.pw,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:13.505137,1530ed8949f5b547b3d915e8
drakorindofilms.net,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:14.252353,1530ed8949f5b547b3d915e8
remo-xp.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:14.439883,1530ed8949f5b547b3d915e8
dunia21.me,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:15.188945,1530ed8949f5b547b3d915e8
moviebaru21.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:15.200685,1530ed8949f5b547b3d915e8
pusatdata.kontan.co.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:15.543510,1530ed8949f5b547b3d915e8
komiku.net,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:16.171313,1530ed8949f5b547b3d915e8
kotakgame.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:16.236661,1530ed8949f5b547b3d915e8
lk21.host,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:16.805511,1530ed8949f5b547b3d915e8
sinemaindo.web.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:16.887709,1530ed8949f5b547b3d915e8
komikstation.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:17.174364,1530ed8949f5b547b3d915e8
nontonsini.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:17.500842,1530ed8949f5b547b3d915e8
idxxx1.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:17.595597,1530ed8949f5b547b3d915e8
ganool.web.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:18.023662,1530ed8949f5b547b3d915e8
lk21c.fun,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:19.053163,1530ed8949f5b547b3d915e8
gadgetren.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:19.413886,1530ed8949f5b547b3d915e8
blogspot.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:19.496087,1530ed8949f5b547b3d915e8
mangaku.site,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:19.663073,1530ed8949f5b547b3d915e8
resep.web.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:20.789570,1530ed8949f5b547b3d915e8
topfilmz.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:20.917929,1530ed8949f5b547b3d915e8
indoxxi.top,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:21.446065,1530ed8949f5b547b3d915e8
lensaindonesia.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:21.546034,1530ed8949f5b547b3d915e8
indosiar.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:22.066940,1530ed8949f5b547b3d915e8
185.231.223.76,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:22.203025,1530ed8949f5b547b3d915e8
lk21.web.id,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:22.948120,1530ed8949f5b547b3d915e8
teknoup.com,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:23.262925,1530ed8949f5b547b3d915e8
harakahdaily.net,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:24.870708,1530ed8949f5b547b3d915e8
anoboy.digital,AVAILABILITY,origin.list,origin.list,2022-05-06 05:32:25.239228,1530ed8949f5b547b3d915e8
