# Generated by PyFunceble (v4.2.4.dev) / https://pyfunceble.github.io
# Date of generation: 2023-10-25T05:34:58.214979

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
Jagat Informasi Solusi (int)   43%          6           
CV. Rumahweb Indonesia         14%          2           
NameCheap, Inc.                14%          2           
NameSilo, LLC                  14%          2           
PT ARDH GLOBAL INDONESIA       14%          2           
Jagat Informasi Solusi (int)   43%          6           
CV. Rumahweb Indonesia         14%          2           
NameCheap, Inc.                14%          2           
NameSilo, LLC                  14%          2           
PT ARDH GLOBAL INDONESIA       14%          2           
